season,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,avg_players_used_post_asg,avg_players_used_pre_asg,avg_unique_lineups_post_asg,avg_unique_lineups_pre_asg,max_lineups_in_game_post_asg,max_lineups_in_game_pre_asg,players_used_change,lineups_used_change
2023-24,1610612747,LAL,Los Angeles Lakers,11.083333333333334,10.339285714285714,13.875,14.107142857142858,17.0,18.0,0.7440476190476204,-0.23214285714285765
2023-24,1610612748,MIA,Miami Heat,10.518518518518519,9.872727272727273,13.555555555555555,12.781818181818181,18.0,19.0,0.645791245791246,0.7737373737373741
2023-24,1610612749,MIL,Milwaukee Bucks,11.0,11.107142857142858,13.923076923076923,15.375,19.0,25.0,-0.10714285714285765,-1.4519230769230766
2023-24,1610612750,MIN,Minnesota Timberwolves,11.037037037037036,10.8,16.48148148148148,16.12727272727273,23.0,21.0,0.2370370370370356,0.3542087542087522
2023-24,1610612751,BKN,Brooklyn Nets,10.592592592592593,10.11111111111111,17.962962962962962,16.25925925925926,26.0,27.0,0.48148148148148273,1.7037037037037024
2023-24,1610612752,NYK,New York Knicks,9.72,10.345454545454546,11.4,11.618181818181819,15.0,17.0,-0.625454545454545,-0.2181818181818187
2023-24,1610612753,ORL,Orlando Magic,12.222222222222221,11.454545454545455,12.814814814814815,14.327272727272728,17.0,27.0,0.7676767676767664,-1.5124579124579132
2023-24,1610612754,IND,Indiana Pacers,11.423076923076923,10.910714285714286,14.692307692307692,15.821428571428571,23.0,24.0,0.5123626373626369,-1.1291208791208796
2023-24,1610612755,PHI,Philadelphia 76ers,10.518518518518519,11.37037037037037,15.185185185185185,14.25925925925926,20.0,23.0,-0.8518518518518512,0.9259259259259256
2023-24,1610612756,PHX,Phoenix Suns,11.115384615384615,10.854545454545455,14.346153846153847,16.072727272727274,22.0,23.0,0.2608391608391596,-1.7265734265734274
2023-24,1610612757,POR,Portland Trail Blazers,9.653846153846153,10.5,13.0,13.88888888888889,19.0,22.0,-0.8461538461538467,-0.8888888888888893
2023-24,1610612758,SAC,Sacramento Kings,11.26923076923077,11.777777777777779,16.153846153846153,15.166666666666666,26.0,24.0,-0.5085470085470085,0.9871794871794872
2023-24,1610612759,SAS,San Antonio Spurs,10.384615384615385,11.327272727272728,15.307692307692308,18.472727272727273,22.0,27.0,-0.942657342657343,-3.1650349650349643
2023-24,1610612760,OKC,Oklahoma City Thunder,11.925925925925926,11.88888888888889,19.037037037037038,18.64814814814815,29.0,27.0,0.03703703703703631,0.3888888888888893
2023-24,1610612761,TOR,Toronto Raptors,10.185185185185185,10.563636363636364,14.407407407407407,15.709090909090909,20.0,23.0,-0.37845117845117926,-1.3016835016835024
2023-24,1610612762,UTA,Utah Jazz,10.461538461538462,11.053571428571429,12.73076923076923,12.517857142857142,17.0,17.0,-0.5920329670329672,0.2129120879120876
2023-24,1610612763,MEM,Memphis Grizzlies,9.166666666666666,10.375,13.875,16.267857142857142,20.0,21.0,-1.208333333333334,-2.3928571428571423
2023-24,1610612764,WAS,Washington Wizards,10.5,11.61111111111111,14.892857142857142,13.75925925925926,20.0,18.0,-1.1111111111111107,1.1335978835978828
2023-24,1610612765,DET,Detroit Pistons,10.25,10.703703703703704,14.357142857142858,16.925925925925927,20.0,24.0,-0.45370370370370416,-2.5687830687830697
2023-24,1610612766,CHA,Charlotte Hornets,9.857142857142858,10.38888888888889,11.892857142857142,14.11111111111111,15.0,20.0,-0.5317460317460316,-2.2182539682539684
2024-25,1610612737,ATL,Atlanta Hawks,9.5,9.836363636363636,14.75,14.436363636363636,20.0,22.0,-0.336363636363636,0.3136363636363644
2024-25,1610612738,BOS,Boston Celtics,10.625,10.545454545454545,13.5,12.872727272727273,18.0,17.0,0.07954545454545503,0.627272727272727
2024-25,1610612739,CLE,Cleveland Cavaliers,11.666666666666666,11.037037037037036,16.555555555555557,15.277777777777779,26.0,22.0,0.6296296296296298,1.2777777777777786
2024-25,1610612740,NOP,New Orleans Pelicans,9.5,10.145454545454545,14.583333333333334,15.709090909090909,18.0,23.0,-0.6454545454545446,-1.125757575757575
2024-25,1610612741,CHI,Chicago Bulls,10.3,11.436363636363636,16.0,17.87272727272727,19.0,24.0,-1.136363636363635,-1.8727272727272712
